record_id,timestamp_ms,data_origin,scenario_family,scenario_variant_id,datetime_bahrain,date,data_source,hour_of_day,day_of_week,is_weekend,sample_count,avg_temperature,avg_humidity,avg_sound_raw,motion_count,bright_count,smoke_count,noise_count,high_temp_count,occupancy_score,switch_avg_power_W,switch_peak_power_W,switch_energy_kWh,ac_avg_power_W,ac_peak_power_W,ac_energy_kWh,total_avg_power_W,total_peak_power_W,total_energy_kWh,total_cost_BHD,tariff_BHD_per_kWh,sensor_freshness_age_seconds,breaker_freshness_age_seconds,hub_freshness_age_seconds,ac_on_flag,socket_on_flag,command_count_last_hour,command_failure_count_last_hour,synthetic_same_hour_energy_avg_hint,synthetic_rolling_energy_avg_hint,synthetic_same_hour_power_avg_hint,synthetic_rolling_power_avg_hint,is_night,is_morning,is_evening,is_working_hour,is_sleep_hour,day_part,previous_hour_total_energy_kWh,previous_hour_total_avg_power_W,previous_hour_total_peak_power_W,energy_delta_from_previous_hour,power_delta_from_previous_hour,rolling_3h_energy_avg,rolling_3h_power_avg,rolling_6h_energy_avg,rolling_6h_power_avg,rolling_24h_energy_avg,rolling_24h_power_avg,rolling_3h_energy_std,rolling_3h_power_std,rolling_24h_energy_std,rolling_24h_power_std,same_hour_7day_energy_avg,same_hour_7day_power_avg,same_hour_7day_energy_std,same_hour_7day_power_std,energy_z_score_24h,power_z_score_24h,same_hour_energy_z_score,same_hour_power_z_score,motion_rate,bright_rate,noise_rate,smoke_rate,high_temp_rate,minutes_since_motion,sensor_stale_flag,breaker_stale_flag,hub_offline_flag,device_on_count,ac_state_duration_minutes,socket_state_duration_minutes,high_power_duration_minutes,empty_room_duration_minutes,occupancy_power_mismatch_score,routine_score_for_hour,routine_deviation_score,label_rule_version,waste_event,anomaly_label,recommendation_type,next_hour_total_energy_kWh,next_hour_total_cost_BHD,split
synthetic_hub_offline_0027_1770421200000,1770421200000,synthetic_scenario,hub_offline,hub_offline_0027,2026-02-07T02:40:00+03:00,2026-02-07,synthetic_hourly_summary,2,Saturday,True,134,27.024,66.36,479.943,34,29,0,9,0,0.2571,24.258,34.326,0.014614,17.517,26.945,0.010553,47.023,55.342,0.028328,0.000907,0.032,495.0,751.0,2716.0,1,1,0,0,0.029378,0.025735,38.143,38.987,True,False,False,False,True,night,0.0,0.0,0.0,0.028328,47.023,0.028328,47.023,0.028328,47.023,0.025735,38.987,0.0,0.0,0.0051470000000000005,7.7974000000000006,0.029378,38.143,0.00528804,6.86574,0.5037886147270251,1.030599943570934,-0.19856128168470782,1.2933784267974031,0.2537313432835821,0.21641791044776118,0.06716417910447761,0.0,0.0,0.0,True,True,True,2,60.0,60.0,0.0,0.0,0.1746669335,0.568873857734199,0.43112614226580104,weak_rules_v2,False,hub_offline_or_stale,wait_for_fresh_data,0.017185,0.00055,train
synthetic_hub_offline_0027_1770424800000,1770424800000,synthetic_scenario,hub_offline,hub_offline_0027,2026-02-07T03:40:00+03:00,2026-02-07,synthetic_hourly_summary,3,Saturday,True,45,23.432,58.144,493.623,0,43,0,2,0,0.0,16.3,22.396,0.006483,23.405,23.405,0.00931,43.205,65.581,0.017185,0.00055,0.032,928.0,1175.0,878.0,1,1,0,0,0.012424,0.012258,9.883,37.925,True,False,False,False,True,night,0.028328,47.023,55.342,-0.011143,-3.818000000000005,0.0227565,45.114000000000004,0.0227565,45.114000000000004,0.012258,37.925,0.0078792908627617,2.6997336905702447,0.0024516,7.585,0.012424,9.883,0.00223632,3.0,2.0097079458312934,0.6961107448912328,2.1289439793947196,11.107333333333335,0.0,0.9555555555555556,0.044444444444444446,0.0,0.0,60.0,True,True,True,2,120.0,120.0,0.0,60.0,0.216025,0.0,1.0,weak_rules_v2,False,hub_offline_or_stale,wait_for_fresh_data,0.022189,0.00071,train
synthetic_hub_offline_0027_1770428400000,1770428400000,synthetic_scenario,hub_offline,hub_offline_0027,2026-02-07T04:40:00+03:00,2026-02-07,synthetic_hourly_summary,4,Saturday,True,96,30.278,55.59,388.29,88,88,0,11,14,0.9182,19.069,23.974,0.018405,0.0,0.0,0.0,22.988,37.344,0.022189,0.00071,0.032,735.0,276.0,1518.0,0,1,2,0,0.017656,0.017426,19.432,14.64,True,False,False,False,True,night,0.017185,43.205,65.581,0.0050040000000000015,-20.217,0.02256733333333333,37.73866666666667,0.02256733333333333,37.73866666666667,0.017426,14.64,0.0055811257227671674,12.916303895980978,0.0034852000000000004,3.0,0.017656,19.432,0.0031780800000000002,3.4977599999999995,1.3666360610581887,2.782666666666666,1.426332880229572,1.0166506564201092,0.9166666666666666,0.9166666666666666,0.11458333333333333,0.0,0.14583333333333334,0.0,True,True,True,1,0.0,180.0,0.0,0.0,0.009402091999999999,0.6611164478599636,0.3388835521400364,weak_rules_v2,False,hub_offline_or_stale,wait_for_fresh_data,0.073247,0.002344,train
synthetic_hub_offline_0027_1770432000000,1770432000000,synthetic_scenario,hub_offline,hub_offline_0027,2026-02-07T05:40:00+03:00,2026-02-07,synthetic_hourly_summary,5,Saturday,True,84,24.82,61.68,364.347,74,52,0,2,0,0.8897,10.662,11.379,0.008832,74.356,114.277,0.061592,88.427,109.759,0.073247,0.002344,0.032,455.0,1551.0,2533.0,1,1,0,0,0.025487,0.046546,93.686,75.815,True,True,False,False,True,morning,0.022189,22.988,37.344,0.051058000000000006,65.43900000000001,0.037540333333333335,51.54,0.03523725,50.41075,0.046546,75.815,0.03102393491053857,33.50626581700802,0.0093092,15.163,0.025487,93.686,0.0045876599999999995,16.86348,2.868237872212436,0.8317615247642293,10.410536090294402,-0.3118573390545724,0.8809523809523809,0.6190476190476191,0.023809523809523808,0.0,0.0,0.0,True,True,True,2,60.0,240.0,0.0,0.0,0.04876749049999998,0.8960475536484759,0.10395244635152413,weak_rules_v2,False,hub_offline_or_stale,wait_for_fresh_data,0.034202,0.001094,train
synthetic_socket_left_on_0032_1770536400000,1770536400000,synthetic_scenario,socket_left_on,socket_left_on_0032,2026-02-08T10:40:00+03:00,2026-02-08,synthetic_hourly_summary,10,Sunday,False,86,26.883,51.693,274.875,3,61,0,7,0,0.0455,69.814,120.551,0.032265,1.413,2.071,0.000653,74.005,123.994,0.034202,0.001094,0.032,56.0,73.0,72.0,0,1,0,0,0.021829,0.028802,84.847,62.49,False,True,False,True,False,morning,0.073247,88.427,109.759,-0.039045,-14.422000000000011,0.04321266666666667,61.806666666666665,0.0350302,55.1296,0.028802,62.49,0.02669501688205748,34.38262907826179,0.005760400000000001,12.498000000000001,0.021829,84.847,0.00392922,15.272459999999999,0.9374349003541423,0.9213474155864932,3.1489710425987862,-0.7099052804852656,0.03488372093023256,0.7093023255813954,0.08139534883720931,0.0,0.0,0.0,False,False,False,1,0.0,300.0,0.0,60.0,0.3531888625,0.7633649065049115,0.23663509349508852,weak_rules_v2,True,socket_left_on,turn_off_unused_socket,0.006936,0.000222,train
synthetic_socket_left_on_0032_1770540000000,1770540000000,synthetic_scenario,socket_left_on,socket_left_on_0032,2026-02-08T11:40:00+03:00,2026-02-08,synthetic_hourly_summary,11,Sunday,False,67,32.258,47.146,242.037,9,47,0,1,10,0.1483,18.0,24.828,0.0063,1.204,1.534,0.000421,19.816,27.222,0.006936,0.000222,0.032,44.0,77.0,10.0,0,1,3,0,0.00704,0.005174,18.526,25.206,False,True,False,True,False,morning,0.034202,74.005,123.994,-0.027266000000000002,-54.18899999999999,0.03812833333333334,60.74933333333333,0.030347833333333334,49.244,0.005174,25.206,0.03332940519021205,36.17529342428798,0.002,5.0412,0.00704,18.526,0.002,3.3346799999999996,0.8810000000000002,-1.069189875426486,-0.05199999999999996,0.3868437151390836,0.13432835820895522,0.7014925373134329,0.014925373134328358,0.0,0.14925373134328357,0.0,False,False,False,1,0.0,360.0,0.0,120.0,0.08438643600000001,0.8710520949536388,0.1289479050463612,weak_rules_v2,True,socket_left_on,turn_off_unused_socket,0.025481,0.000815,train
synthetic_socket_left_on_0032_1770543600000,1770543600000,synthetic_scenario,socket_left_on,socket_left_on_0032,2026-02-08T12:40:00+03:00,2026-02-08,synthetic_hourly_summary,12,Sunday,False,118,25.753,45.69,570.294,4,96,0,12,0,0.0415,42.238,64.262,0.023173,4.207,6.506,0.002308,46.445,67.223,0.025481,0.000815,0.032,72.0,8.0,27.0,0,1,0,0,0.02085,0.019876,41.474,25.735,False,False,False,True,False,afternoon,0.006936,19.816,27.222,0.018545,26.629,0.02220633333333334,46.75533333333333,0.029873333333333335,49.14766666666666,0.019876,25.735,0.013924843637661905,27.09583289609923,0.003975200000000001,5.147,0.02085,41.474,0.003753,7.465319999999999,1.4099919500905609,4.023703128035749,1.2339461763922195,0.6658790246097962,0.03389830508474576,0.8135593220338984,0.1016949152542373,0.0,0.0,0.0,False,False,False,1,0.0,420.0,0.0,180.0,0.2225876625,0.7780403251300679,0.22195967486993207,weak_rules_v2,True,socket_left_on,turn_off_unused_socket,0.05482,0.001754,train
synthetic_socket_left_on_0032_1770547200000,1770547200000,synthetic_scenario,socket_left_on,socket_left_on_0032,2026-02-08T13:40:00+03:00,2026-02-08,synthetic_hourly_summary,13,Sunday,False,83,26.789,43.651,367.04,6,10,0,4,0,0.0743,51.411,62.842,0.045204,4.667,5.929,0.004103,62.349,78.254,0.05482,0.001754,0.032,65.0,25.0,89.0,0,1,1,0,0.028312,0.03395,45.581,44.253,False,False,False,True,False,afternoon,0.025481,46.445,67.223,0.029339,15.903999999999996,0.029079000000000004,42.87,0.036145833333333335,52.33833333333333,0.03395,44.253,0.024143913663695865,21.490683818808556,0.006790000000000001,8.8506,0.028312,45.581,0.00509616,8.20458,3.0736377025036816,2.044607145278286,5.2015635301874354,2.0437365471480557,0.07228915662650602,0.12048192771084337,0.04819277108433735,0.0,0.0,0.0,False,False,False,1,0.0,480.0,0.0,240.0,0.2885823465,0.31875448428398145,0.6812455157160185,weak_rules_v2,True,socket_left_on,turn_off_unused_socket,0.067289,0.002153,train
synthetic_normal_usage_0010_1770777600000,1770777600000,synthetic_scenario,normal_usage,normal_usage_0010,2026-02-11T05:40:00+03:00,2026-02-11,synthetic_hourly_summary,5,Wednesday,False,69,29.564,68.474,435.732,54,31,0,4,0,0.783,15.926,17.603,0.010129,87.011,124.54,0.055337,105.805,152.942,0.067289,0.002153,0.032,33.0,13.0,18.0,1,1,3,0,0.056117,0.016822,89.481,26.451,True,True,False,False,True,morning,0.05482,62.349,78.254,0.012469000000000001,43.45600000000001,0.049196666666666666,71.533,0.0436625,66.14116666666666,0.016822,26.451,0.021463774699090877,30.727215819204968,0.0033644,5.2902000000000005,0.056117,89.481,0.01010106,16.106579999999997,15.000297229818095,15.00018902877018,1.106022536248671,1.0134988309125845,0.782608695652174,0.4492753623188406,0.057971014492753624,0.0,0.0,0.0,False,False,False,2,60.0,540.0,60.0,0.0,0.114798425,0.6621670563624718,0.3378329436375282,weak_rules_v2,True,unusual_same_hour_usage,review_unusual_usage,0.007334,0.000235,train
synthetic_normal_usage_0010_1770781200000,1770781200000,synthetic_scenario,normal_usage,normal_usage_0010,2026-02-11T06:40:00+03:00,2026-02-11,synthetic_hourly_summary,6,Wednesday,False,137,25.433,65.705,292.875,86,93,0,10,0,0.6335,11.715,17.51,0.006636,0.0,0.0,0.0,12.948,14.891,0.007334,0.000235,0.032,20.0,74.0,50.0,0,1,1,0,0.007195,0.005918,8.795,10.083,False,True,False,False,False,morning,0.067289,105.805,152.942,-0.059955,-92.857,0.04314766666666667,60.367333333333335,0.032677000000000005,53.56133333333332,0.005918,10.083,0.03163594522585556,46.46020732124786,0.002,3.0,0.007195,8.795,0.002,3.0,0.7080000000000003,0.9550000000000001,0.06950000000000012,1.3843333333333334,0.6277372262773723,0.6788321167883211,0.072992700729927,0.0,0.0,0.0,False,False,False,1,0.0,600.0,0.0,0.0,0.023727210000000006,0.5385555555555555,0.4614444444444445,weak_rules_v2,False,normal,keep_monitoring,0.035832,0.001147,train
