target,model,feature,importance
waste_event,GradientBoosting,total_avg_power_W,0.4133800805910054
waste_event,GradientBoosting,switch_avg_power_W,0.1780649332123383
waste_event,GradientBoosting,total_peak_power_W,0.10715884684380275
waste_event,GradientBoosting,occupancy_power_mismatch_score,0.07887750283554935
waste_event,GradientBoosting,sensor_freshness_age_seconds,0.04492732373194012
waste_event,GradientBoosting,breaker_freshness_age_seconds,0.028506178379381204
waste_event,GradientBoosting,occupancy_score,0.025810857418881932
waste_event,GradientBoosting,smoke_rate,0.01577669467623473
waste_event,GradientBoosting,breaker_stale_flag,0.015043466303696146
waste_event,GradientBoosting,sensor_stale_flag,0.015007130841022337
waste_event,GradientBoosting,smoke_count,0.014057342768347613
waste_event,GradientBoosting,motion_count,0.012265525683728695
waste_event,GradientBoosting,ac_avg_power_W,0.01104428709979912
waste_event,GradientBoosting,empty_room_duration_minutes,0.010983067842192485
waste_event,GradientBoosting,motion_rate,0.009998657877281252
waste_event,GradientBoosting,ac_peak_power_W,0.004784847090973379
waste_event,GradientBoosting,switch_peak_power_W,0.003562758795306327
waste_event,GradientBoosting,rolling_6h_energy_avg,0.0015839045756068316
waste_event,GradientBoosting,previous_hour_total_peak_power_W,0.0014807234750603719
waste_event,GradientBoosting,rolling_24h_power_std,0.0008515913981624056
waste_event,GradientBoosting,same_hour_7day_energy_std,0.0006457611075459434
waste_event,GradientBoosting,bright_rate,0.0006081478173106141
waste_event,GradientBoosting,same_hour_7day_power_avg,0.0005464924198650559
waste_event,GradientBoosting,bright_count,0.0005097371839392875
waste_event,GradientBoosting,avg_sound_raw,0.00035908253092433487
waste_event,GradientBoosting,power_delta_from_previous_hour,0.0003553649664188856
waste_event,GradientBoosting,same_hour_energy_z_score,0.0003366973621039388
waste_event,GradientBoosting,same_hour_7day_energy_avg,0.0003330237478398259
waste_event,GradientBoosting,total_energy_kWh,0.000315960647513948
waste_event,GradientBoosting,socket_state_duration_minutes,0.00029901494236456584
anomaly_label,GradientBoosting,occupancy_power_mismatch_score,0.22731639925583177
anomaly_label,GradientBoosting,hub_freshness_age_seconds,0.09819417319641599
anomaly_label,GradientBoosting,energy_z_score_24h,0.09021933349116609
anomaly_label,GradientBoosting,hub_offline_flag,0.08650130701142754
anomaly_label,GradientBoosting,smoke_rate,0.0837439377449048
anomaly_label,GradientBoosting,breaker_freshness_age_seconds,0.05875331917903391
anomaly_label,GradientBoosting,empty_room_duration_minutes,0.058300471779127505
anomaly_label,GradientBoosting,smoke_count,0.05340216390726697
anomaly_label,GradientBoosting,occupancy_score,0.04095335638275762
anomaly_label,GradientBoosting,total_avg_power_W,0.0335979639779393
anomaly_label,GradientBoosting,ac_avg_power_W,0.0331043441350029
anomaly_label,GradientBoosting,total_peak_power_W,0.029425917965804606
anomaly_label,GradientBoosting,motion_rate,0.025130404623586674
anomaly_label,GradientBoosting,same_hour_energy_z_score,0.01560871864208648
anomaly_label,GradientBoosting,breaker_stale_flag,0.01374168601558591
anomaly_label,GradientBoosting,sensor_freshness_age_seconds,0.013419834606756258
anomaly_label,GradientBoosting,sensor_stale_flag,0.012382575203348792
anomaly_label,GradientBoosting,total_cost_BHD,0.003467284982226213
anomaly_label,GradientBoosting,bright_rate,0.003017904364184744
anomaly_label,GradientBoosting,total_energy_kWh,0.0029109090113407106
anomaly_label,GradientBoosting,same_hour_7day_power_avg,0.0026429292606115163
anomaly_label,GradientBoosting,routine_score_for_hour,0.0014462011993244181
anomaly_label,GradientBoosting,high_temp_count,0.0013184260050414286
anomaly_label,GradientBoosting,previous_hour_total_peak_power_W,0.0011923985270587791
anomaly_label,GradientBoosting,rolling_3h_energy_avg,0.0010493491779477175
anomaly_label,GradientBoosting,ac_peak_power_W,0.0008841431055855546
anomaly_label,GradientBoosting,bright_count,0.0008311720397095384
anomaly_label,GradientBoosting,high_temp_rate,0.0008198509218912953
anomaly_label,GradientBoosting,avg_temperature,0.000704991352909089
anomaly_label,GradientBoosting,routine_deviation_score,0.0006311510969307138
next_hour_total_energy_kWh,ExtraTrees,total_avg_power_W,0.035646562208631896
next_hour_total_energy_kWh,ExtraTrees,rolling_3h_power_avg,0.034208471441207304
next_hour_total_energy_kWh,ExtraTrees,sample_count,0.025552306976239336
next_hour_total_energy_kWh,ExtraTrees,rolling_3h_energy_std,0.02549950390116273
next_hour_total_energy_kWh,ExtraTrees,rolling_3h_energy_avg,0.02356814303238246
next_hour_total_energy_kWh,ExtraTrees,rolling_3h_power_std,0.021909306590717693
next_hour_total_energy_kWh,ExtraTrees,total_peak_power_W,0.020352975250150836
next_hour_total_energy_kWh,ExtraTrees,bright_rate,0.01964936702301003
next_hour_total_energy_kWh,ExtraTrees,rolling_6h_power_avg,0.018879449250614026
next_hour_total_energy_kWh,ExtraTrees,high_power_duration_minutes,0.018864963907525883
next_hour_total_energy_kWh,ExtraTrees,total_cost_BHD,0.01763099180536547
next_hour_total_energy_kWh,ExtraTrees,rolling_6h_energy_avg,0.017493555350226297
next_hour_total_energy_kWh,ExtraTrees,same_hour_7day_power_avg,0.017426002996640728
next_hour_total_energy_kWh,ExtraTrees,noise_count,0.016604170980316846
next_hour_total_energy_kWh,ExtraTrees,previous_hour_total_peak_power_W,0.01647617837271139
next_hour_total_energy_kWh,ExtraTrees,noise_rate,0.016272127331249584
next_hour_total_energy_kWh,ExtraTrees,command_count_last_hour,0.015707864868133505
next_hour_total_energy_kWh,ExtraTrees,rolling_24h_power_std,0.015645180260578873
next_hour_total_energy_kWh,ExtraTrees,bright_count,0.01553323521151763
next_hour_total_energy_kWh,ExtraTrees,avg_temperature,0.015467599997563104
next_hour_total_energy_kWh,ExtraTrees,same_hour_7day_power_std,0.01540969505477636
next_hour_total_energy_kWh,ExtraTrees,avg_sound_raw,0.015322598581272544
next_hour_total_energy_kWh,ExtraTrees,socket_state_duration_minutes,0.01507887246324375
next_hour_total_energy_kWh,ExtraTrees,ac_avg_power_W,0.015009986022981028
next_hour_total_energy_kWh,ExtraTrees,breaker_freshness_age_seconds,0.014986020749681592
next_hour_total_energy_kWh,ExtraTrees,total_energy_kWh,0.014842608910264555
next_hour_total_energy_kWh,ExtraTrees,sensor_freshness_age_seconds,0.01478265295660314
next_hour_total_energy_kWh,ExtraTrees,previous_hour_total_avg_power_W,0.014460997981702282
next_hour_total_energy_kWh,ExtraTrees,day_of_week_Wednesday,0.01417334951289417
next_hour_total_energy_kWh,ExtraTrees,energy_z_score_24h,0.014093156525847701
next_hour_total_cost_BHD,ExtraTrees,total_avg_power_W,0.03555548737801141
next_hour_total_cost_BHD,ExtraTrees,rolling_3h_power_avg,0.034728755667605124
next_hour_total_cost_BHD,ExtraTrees,rolling_3h_energy_std,0.02502766120855796
next_hour_total_cost_BHD,ExtraTrees,sample_count,0.024596586445168
next_hour_total_cost_BHD,ExtraTrees,rolling_3h_energy_avg,0.023226836380198453
next_hour_total_cost_BHD,ExtraTrees,rolling_3h_power_std,0.02103158335387683
next_hour_total_cost_BHD,ExtraTrees,total_peak_power_W,0.0208646893765832
next_hour_total_cost_BHD,ExtraTrees,bright_rate,0.019870679196855107
next_hour_total_cost_BHD,ExtraTrees,rolling_6h_power_avg,0.019487686202715026
next_hour_total_cost_BHD,ExtraTrees,high_power_duration_minutes,0.019143824015814374
next_hour_total_cost_BHD,ExtraTrees,rolling_6h_energy_avg,0.01826744342883363
next_hour_total_cost_BHD,ExtraTrees,same_hour_7day_power_avg,0.01753611739396607
next_hour_total_cost_BHD,ExtraTrees,previous_hour_total_peak_power_W,0.01722047798521422
next_hour_total_cost_BHD,ExtraTrees,total_cost_BHD,0.01686336449209643
next_hour_total_cost_BHD,ExtraTrees,noise_count,0.016099529499961105
next_hour_total_cost_BHD,ExtraTrees,noise_rate,0.016087732636471903
next_hour_total_cost_BHD,ExtraTrees,bright_count,0.015942555404154048
next_hour_total_cost_BHD,ExtraTrees,command_count_last_hour,0.015884945501857022
next_hour_total_cost_BHD,ExtraTrees,avg_sound_raw,0.015774554502764063
next_hour_total_cost_BHD,ExtraTrees,socket_state_duration_minutes,0.015590247502469092
next_hour_total_cost_BHD,ExtraTrees,total_energy_kWh,0.015485319970461344
next_hour_total_cost_BHD,ExtraTrees,avg_temperature,0.015103518141356987
next_hour_total_cost_BHD,ExtraTrees,rolling_24h_power_std,0.015032158378923159
next_hour_total_cost_BHD,ExtraTrees,same_hour_7day_power_std,0.014960341342859153
